title,media_score,cast,short_review
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Go see one of the best super-hero films ever made and see it on the biggest screen you can afford.
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Expect gasps at the haunting lack of closure. I dug the daring finale. It's every bit as entertaining as it is shocking and refreshing from a franchise that is predictable no more.
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","For most parts, Avengers: Infinity War largely works and has a lot to offer and take in, but it's not without sacrificial trade-offs and mixed emotions."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","Whenever it needs a moment of escalation, it can crank up the score, deliver a big hero money shot and then just allow a decade of storytelling to do the leg-work."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","[I]n this age of franchise filmmaking, how am I supposed to accept any consequences when several more movies have already been announced?"
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","A lot is happening at the same time in different parts of the Galaxy, so the story moves quite fast, but attention is key."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Marvel Studios managed to turn dreams into reality. [Full review in Spanish]
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","[It] showed not only was there audience appetite for a big-budget black superhero flick, but there was appetite for one that grappled with modern societal challenges like isolationism, oppression, and technological disparity."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",There's so much to celebrate about Black Panther.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",It's a cultural phenomenon.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",The best Marvel movie yet.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","A tentpole franchise film that broke the mold of what came before, reveling in a diversity and culture that had barely been touched on in past superhero films and that had certainly not been embraced as widely and emphatically before..."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Boseman's Black Panther is not only capable of fighting the bad guys but is also a vessel for the film's study of the importance of legacy and identity.
